IMF1(t-1),IMF1(t-2),IMF1(t-3),IMF2(t-1),IMF2(t-2),IMF2(t-3),IMF3(t-1),IMF3(t-2),IMF3(t-3),IMF4(t-1),IMF4(t-2),IMF4(t-3),IMF5(t-1),IMF5(t-2),IMF5(t-3),IMF6(t-1),IMF6(t-2),IMF6(t-3),IMF7(t-1),IMF7(t-2),IMF7(t-3),IMF8(t-1),IMF8(t-2),IMF8(t-3),IMF9(t-1),IMF9(t-2),IMF9(t-3),IMF10(t-1),IMF10(t-2),IMF10(t-3),IMF11(t-1),IMF11(t-2),IMF11(t-3),Tar
0.353777461,0.259120785,0.309303343,0.380799069,0.184857178,-0.152320776,0.097074835,0.046280437,0.091089021,0.090136321,-0.042710312,-0.05640307,-0.000871915,-0.023918923,0.016434946,-0.065452725,0.037917954,0.011029793,0.032705098,-0.012769714,-0.055211403,0.026576436,0.130870841,0.022456204,-0.029873678,0.031895893,0.195259886,0.220617062,0.229779046,0.16719471,0.36516699,0.333460268,0.389106115,-0.569846692
0.309303343,0.184857178,0.24943267,0.353777461,0.097074835,-0.125445132,0.000537781,0.091089021,0.090136321,0.039073559,-0.029873678,-0.023918923,0.037917954,0.011029793,-0.051894291,0.026576436,0.022456204,0.029891548,0.075566174,0.032705098,-0.012769714,0.016434946,-0.042710312,-0.032876385,0.059691328,-0.152320776,0.124345163,0.229779046,0.195259886,0.031895893,0.389106115,0.36516699,0.402921831,-0.302068737
0.24943267,0.097074835,0.176995091,0.309303343,0.000537781,0.078195786,-0.09926318,0.090136321,0.039073559,-0.039315446,0.059691328,0.011029793,0.022456204,0.029891548,0.067801976,0.016434946,-0.032876385,0.025406909,0.110323085,0.075566174,0.032705098,-0.051894291,-0.029873678,-0.043802707,-0.070571072,-0.125445132,0.031216347,0.195259886,0.124345163,-0.152320776,0.402921831,0.389106115,0.404586041,-0.4418995
0.176995091,0.000537781,0.095459199,0.24943267,-0.09926318,0.171525098,-0.19642379,0.039073559,-0.039315446,-0.102778489,-0.070571072,0.029891548,-0.032876385,0.025406909,-0.056987825,-0.051894291,-0.043802707,0.004764165,0.132350761,0.110323085,0.075566174,0.067801976,0.059691328,0.02525892,0.054928187,0.078195786,-0.06594579,0.124345163,0.031216347,-0.125445132,0.404586041,0.402921831,0.392476032,-0.692432249
0.095459199,-0.09926318,0.008765058,0.176995091,-0.19642379,0.021911841,-0.284979148,-0.039315446,-0.102778489,-0.111262944,0.054928187,0.025406909,-0.043802707,0.004764165,0.021258726,0.067801976,0.02525892,-0.015420302,0.138506292,0.132350761,0.110323085,-0.056987825,-0.070571072,0.063710053,0.005947112,0.171525098,-0.148579461,0.031216347,-0.06594579,0.078195786,0.392476032,0.404586041,0.365438566,-1.296432127
0.008765058,-0.19642379,-0.078867839,0.095459199,-0.284979148,-0.156541923,-0.359274677,-0.102778489,-0.111262944,-0.052471841,0.005947112,0.004764165,0.02525892,-0.015420302,0.027756311,-0.056987825,0.063710053,-0.019401584,0.127571137,0.138506292,0.132350761,0.021258726,0.054928187,-0.015737241,-0.072051126,0.021911841,-0.201346785,-0.06594579,-0.148579461,0.171525098,0.365438566,0.392476032,0.322838137,-1.141639725
-0.078867839,-0.284979148,-0.163147735,0.008765058,-0.359274677,-0.108645793,-0.414331865,-0.111262944,-0.052471841,0.04511561,-0.072051126,-0.015420302,0.063710053,-0.019401584,-0.072190587,0.021258726,-0.015737241,-0.002095557,0.100457153,0.127571137,0.138506292,0.027756311,0.005947112,-0.081095287,0.076513232,-0.156541923,-0.215013556,-0.148579461,-0.201346785,0.021911841,0.322838137,0.365438566,0.264587692,-0.972295195
-0.163147735,-0.359274677,-0.239922653,-0.078867839,-0.414331865,0.093655449,-0.446184841,-0.052471841,0.04511561,0.123916479,0.076513232,-0.019401584,-0.015737241,-0.002095557,0.095042833,0.027756311,-0.081095287,0.027220276,0.060144234,0.100457153,0.127571137,-0.072190587,-0.072051126,0.00518562,-0.02422875,-0.108645793,-0.188058096,-0.201346785,-0.215013556,-0.156541923,0.264587692,0.322838137,0.191160711,-0.991843568
-0.239922653,-0.414331865,-0.305386741,-0.163147735,-0.446184841,0.155609986,-0.452164881,0.04511561,0.123916479,0.130905125,-0.02422875,-0.002095557,-0.081095287,0.027220276,-0.087896757,-0.072190587,0.00518562,0.049610373,0.011351559,0.060144234,0.100457153,0.095042833,0.076513232,0.09499413,-0.015773012,0.093655449,-0.126733473,-0.215013556,-0.188058096,-0.108645793,0.191160711,0.264587692,0.10358419,-0.89150474
-0.305386741,-0.446184841,-0.356270592,-0.239922653,-0.452164881,-0.010238425,-0.431112513,0.123916479,0.130905125,0.053915608,-0.015773012,0.027220276,0.00518562,0.049610373,0.055478079,0.095042833,0.09499413,0.04728281,-0.040020981,0.011351559,0.060144234,-0.087896757,-0.02422875,0.005406233,0.023337574,0.155609986,-0.043622771,-0.188058096,-0.126733473,0.093655449,0.10358419,0.191160711,0.00341273,-0.876628617
